번호,문제,보기1,보기2,보기3,보기4,정답,해설,
84,초경량비행장치 퇴치등으로 인한 재산상의 손실 및 물건의 멸실·훼손 보상에 대한 기준으로 옳지 않은 것은?,손실을 입은 물건을 수리할 수 있는 경우에는 수리비에 상당하는 금액으로 보상한다.,손실을 입은 물건을 수리할 수 없는 경우에는 손실을 입은 당시의 해당 물건의 교환가액으로 보상한다.,물건의 멸실·훼손으로 인한 손실 외의 재산상 손실은 퇴치등과의 상당한 인과관계 여부를 불문하고 발생한 전액을 보상한다.,"영업자가 손실을 입은 물건의 수리나 교환으로 인하여 영업을 계속할 수 없는 경우, 영업을 계속할 수 없는 기간 중 영업상 이익에 상당하는 금액을 보상한다.",3,물건의 멸실·훼손으로 인한 손실 외의 재산상 손실에 대해서는 퇴치등과 '상당한 인과관계가 있는 범위에서' 보상한다. 무조건 전액을 보상하는 것이 아니다. [출처: 공항시설법 시행령 별표 1],
85,사업시행자 또는 항행안전시설설치자가 승인 또는 변경승인을 받지 않은 실시계획에 따라 시행한 공사금액이 600억원인 경우 부과되는 과징금의 금액으로 옳은 것은?,60억원,10억원,6억원,5억원,4,"공사금액의 100분의 1에 해당하는 금액이 과징금으로 부과되나, 그 금액이 5억원을 초과하는 경우에는 5억원으로 제한한다. 600억원의 1/100은 6억원이므로 상한선인 5억원이 부과된다. [출처: 공항시설법 시행령 별표 2]",
86,마이크로파착륙시설(MLS)의 구성장비 및 기술기준에 대한 설명으로 틀린 것은?,"구성장비에는 방위각 장비, 활공각 장비, 데이터 전송장치, 거리측정 장비(DME/P)가 포함된다.","각도 및 데이터 기능은 5,031.0MHz에서 5,090.7MHz까지의 주파수대역에 할당된 200개의 채널 중 하나로 작동되어야 한다.",지상장비의 운용 무선주파수는 할당된 주파수로부터 ±50kHz 이상 변해서는 안 된다.,주파수 안정도는 1초 간격으로 측정하였을 경우 공칭주파수로부터 ±50Hz 이내여야 한다.,3,MLS 지상장비의 운용 무선주파수는 할당된 주파수로부터 '±10kHz' 이상 변해서는 안 된다. ±50kHz가 아니다. [출처: 공항시설법 시행규칙 별표 15],
87,정밀접근(CAT-I)을 위한 육상비행장의 착륙대 등급 A의 '착륙복행표면' 규격 기준으로 옳은 것은?,내측저변의 길이는 90m이다.,확산율(양측)은 15%이다.,경사도는 4%이다.,확산율(양측)은 10%이다.,4,"정밀접근(CAT-I) A등급의 경우 착륙복행표면의 확산율(양측)은 10%, 경사도는 3.33%, 내측저변의 길이는 120m이다. [출처: 공항시설법 시행규칙 별표 2]",
88,항공학적 검토 시 고려해야 할 사항으로 명시되지 않은 것은?,시각(Visual Approach)의 영향,기존 또는 계획된 활주로의 사용 가능거리에 대한 영향,공항 주변의 비행금지 및 제한구역 등의 영향,공항 주변 교통 인프라 확충에 따른 여객 터미널 여객 수요 변화 영향,4,"항공학적 검토에는 공항 수용 용량 영향, 활주로 사용 가능거리 영향, 시각의 영향 등 비행 안전 관련 요소를 고려한다. 여객 터미널 여객 수요 변화 등은 직접적인 항공학적 검토 기준에 포함되지 않는다. [출처: 공항시설법 시행규칙 별표 8]",
89,자동종속감시시설(ADS)의 기술기준에 대한 설명으로 틀린 것은?,ADS의 가용성은 99.996퍼센트 이상이어야 한다.,ADS의 무결성은 10^-7 이상이어야 한다.,"ADS-B의 통신방식은 1,090MHz ES, 초단파디지털이동통신시설(VDL) 또는 범용접속데이터통신시설(UAT)을 사용할 수 있어야 한다.","ADS는 요구접속·사건접속·주기접속의 형태로 운용되며, 혼선 방지를 위해 비상모드로는 운용할 수 없다.",4,"ADS는 요구접속, 사건접속, 주기접속 또는 '비상모드' 등의 형태로 운용되어야 한다. [출처: 공항시설법 시행규칙 별표 15]",
90,초경량비행장치 퇴치등에 의한 손실보상 후 구상권 행사에 대한 설명으로 틀린 것은?,손실보상기관은 손실보상금 지급을 완료한 경우 피구상권자에게 구상권을 행사할 수 있다.,"손실보상금을 예산 부족 등의 사유로 분할하여 지급하는 경우, 모든 분할금의 지급이 100% 완료된 이후에만 전체 금액에 대해 구상권을 행사할 수 있다.",구상권을 행사하려면 구상금액 산출근거 등을 명확히 밝혀 구상금을 낼 것을 서면으로 통지해야 한다.,"국가, 지방자치단체, 공항운영자 또는 비행장시설을 관리·운영하는 자가 구상권을 행사할 수 있다.",2,손실보상금을 분할하여 지급하는 경우에는 각각의 손실보상금의 지급을 완료하고 '해당 부분에 대하여' 우선적으로 구상권을 행사할 수 있다. [출처: 공항시설법 시행령 제50조의4],
91,저광도 표시등 C형태의 성능 및 광배분 기준으로 틀린 것은?,신호형태는 분당 60~90회의 섬광이어야 한다.,색채는 노란색 또는 파란색을 사용한다.,수평 빔 확산 각도는 12도로 일정하게 유지하여야 한다.,"최소광도는 40cd이며, 최대광도는 400cd이다.",3,"저광도 표시등의 수평 빔 확산 각도는 별도로 규정하지 않으며, 12도는 수직 빔 확산 각도의 최소 기준이다. [출처: 공항시설법 시행규칙 별표 10]",
92,거리측정시설(DME)과 전방향표지시설(VOR)을 편축병설할 때 안테나 분리간격에 대한 기준으로 옳은 것은?,공항지역에서 공항접근용으로 사용할 때 두 안테나의 분리간격은 60미터를 초과해서는 안 된다.,"도플러방식(DVOR)의 경우, 두 안테나의 분리간격은 30미터 이상 분리할 수 있으나 80미터를 초과해서는 안 된다.","항로용 등 공항접근용 외의 목적으로 사용하려는 경우, 두 안테나의 분리간격은 1,000미터까지 허용된다.",동축병설을 제외한 모든 편축병설의 경우 두 안테나의 분리간격은 일률적으로 30미터 이내로 제한된다.,2,"일반적으로 편축병설 시 분리간격은 30m 이내여야 하나, 도플러방식 전방향표지시설(DVOR)의 경우에는 30m 이상 80m 이하로 분리할 수 있다. 항로용은 600m를 초과해서는 안 된다. [출처: 공항시설법 시행규칙 별표 15]",
93,항행안전시설공사 완성검사를 받으려는 자가 완성검사 신청 시 의무적으로 첨부해야 하는 서류에 해당하지 않는 것은?,완성검사조서,준공사진,설치허가 신청 시와 완벽히 동일하게 시공되었음을 증명하는 준공설계도서,담당 공무원이 행정정보 공동이용을 통해 확인 가능한 법인등기사항증명서,3,"준공설계도서는 '설치허가 신청 시의 설계도서에 변경이 있는 경우만' 첨부하며, 동일하게 시공된 경우에는 제출하지 않아도 된다. (법인등기사항증명서는 담당공무원이 확인하므로 신청인이 직접 첨부하는 서류 목록에서 제외됨) [출처: 공항시설법 시행규칙 제38조]",
94,"공항·비행장개발예정지역 지정에 따른 토지매수청구권 행사와 관련하여, 매수대상토지의 판정기준에 대한 설명으로 옳은 것은?",토지의 사용 및 수익이 불가능하게 된 사유에 매수청구인의 귀책사유가 경미하게 포함된 경우에도 매수 청구가 가능하다.,"지정 이전에 적법하게 실제 용도와 지목이 다르게 사용되었음이 증명된 경우라도, 공부상 지목만을 기준으로 동일 지목 공시지가를 비교한다.",해당 토지의 개별공시지가가 동일한 지목의 개별공시지가 평균치의 100분의 50 미만으로 떨어져야 매수대상이 될 수 있다.,동일 지목의 개별공시지가 평균치 산정 시 해당 지역의 객관성 확보를 위해 매수대상토지의 개별공시지가를 반드시 포함하여 계산한다.,3,"동일 지목 개별공시지가 평균치의 50% 미만이어야 매수대상이 된다. 매수청구인의 귀책사유가 전혀 없어야 하며, 실제 용도를 지목으로 보고 평가한다. 또한 평균치 산정 시 매수대상토지의 가격은 제외한다. [출처: 공항시설법 시행령 제22조]",
95,"공항시설법령상 범칙금액이 1차 위반 시 5만원, 2차 위반 시 10만원으로 규정된 행위가 아닌 것은?",기부를 요청하거나 물품을 배부 또는 권유하는 행위,지정된 흡연구역 외의 장소에서 담배를 피우는 행위,상품 및 서비스의 구매를 강요하거나 영업을 목적으로 손님을 부르는 행위,공항운영자가 지정한 장소 외의 장소에 쓰레기 등의 물건을 버리는 행위,3,"상품 구매 강요 또는 호객행위, 영업행위, 시설 무단 점유는 1차 위반 시 8만원, 2차 위반 시 16만원의 범칙금이 부과된다. 나머지 항목은 1차 5만원, 2차 10만원이다. [출처: 공항시설법 시행규칙 별표 4]",
96,"공항운영증명을 받은 자가 시정조치명령을 이행하지 않았을 때, 행정처분 기준이 '공항운영정지 15일'이 아닌 것은?",이동지역의 유지·보수에 관한 시정조치사항을 이행하지 않은 경우,이동지역 작업 통제 또는 차량·장비 통제에 관한 시정조치사항을 이행하지 않은 경우,시각지원시설의 관리·운영에 관한 시정조치사항을 이행하지 않은 경우,공항 주변의 도로 정체 유발 방지에 관한 시정조치사항을 이행하지 않은 경우,4,"이동지역 보수, 시각지원시설, 장애물 통제, 위험물 취급, 항공기 구조 및 소방 등에 관한 시정조치사항 미이행 시 운영정지 15일에 처하며, 그 밖의 시정조치사항 미이행은 운영정지 7일이다. [출처: 공항시설법 시행규칙 별표 13]",
97,수상비행장 착륙대 등급 2의 시설기준으로 틀린 것은?,착륙대의 폭은 60m 이상이어야 한다.,선회수역의 직경은 120m 이상이어야 한다.,유도수로의 폭은 45m 이상이어야 한다.,유도수로의 수심은 간조 시에도 1.2m 이상이어야 한다.,3,"수상비행장 유도수로의 폭은 착륙대 등급 1, 2, 3의 경우 40m 이상이어야 하며, 4등급인 경우에만 45m 이상이어야 한다. [출처: 공항시설법 시행규칙 별표 1]",
98,지상에 설치되는 이차감시레이더(SSR)의 기술기준에 관한 설명으로 틀린 것은?,"지상장비에서 항공기에 질문하는 주파수는 1,030MHz±0.2MHz이다.",최대 질문 반복 주파수는 초당 900개의 질문이어야 한다.,질문의 모드를 결정하는 P1과 P3 펄스 간 간격에 있어서 고도지시용(모드 C)은 21μs±0.2μs이다.,수신기는 부엽억제기능(SLS)과 수신감도조정기능(STC)을 갖추어야 한다.,2,이차감시레이더(SSR)의 최대 질문 반복 주파수는 초당 450개의 질문이어야 한다. 900개가 아니다. [출처: 공항시설법 시행규칙 별표 15],
99,항공정보통신시설 중 음성통신제어시설(VCCS)의 기능 및 기술기준으로 옳지 않은 것은?,관제탑 등에서 사용하는 공중 대 지상 무선통신과 직통전화 통신을 서로 다른 모듈로 자동으로 배분할 수 있어야 한다.,공중 대 지상 통신을 위한 송신 또는 수신 무선주파수의 선택과 해제는 운영석에 할당된 패널의 버튼에 의해 이루어져야 한다.,"항공직통전화시설은 국내 기관 간에만 통신을 제공하며, 해외 관련 기관과의 연결은 지원하지 않는다.",직통전화 또는 무선통신 입·출력은 적절히 증폭 또는 감쇄되어 자동기록장치에 연결되어야 한다.,3,항공직통전화시설은 '국내외' 관련 항공교통관제기관 및 항공정보제공기관 간의 항공교통업무에 필요한 각종 정보를 음성통신으로 제공할 수 있어야 한다. 해외 기관과의 통신도 지원해야 한다. [출처: 공항시설법 시행규칙 별표 16],
100,초경량비행장치 퇴치등에 의한 손실보상 후 구상권 행사와 관련된 설명으로 가장 적절한 것은?,손실보상기관이 손실보상금의 50% 이상을 지급한 시점부터 구상권을 행사할 수 있다.,구상권을 행사하려는 경우 구상금액 산출근거 등은 생략하고 즉시 구상금을 낼 것을 구두로 통지할 수 있다.,"손실보상금을 분할하여 지급하는 경우, 각각의 손실보상금 지급을 완료할 때마다 해당 부분에 대하여 구상권을 행사할 수 있다.",구상권의 대상이 되는 피구상권자는 퇴치등을 실행한 소속 공무원 또는 임직원이다.,3,"구상권은 초경량비행장치를 사용하여 비행한 자(위반자)에게 행사하며, 분할 지급 시 각각의 손실보상금 지급을 완료하고 해당 부분에 대하여 구상권을 행사할 수 있다. 구두가 아닌 서면으로 통지해야 한다. [출처: 공항시설법 시행령 제50조의4]",
